event_key,season,fold_id,current_season_prior_events,prior_candidate_folds,prior_candidate_predictions,aligned_prior_folds,aligned_prior_rows,prior_uniform_mae,prior_weighted_mae,prior_improvement_sec,history_event_keys,dropped_candidate_rows,dropped_default_rows,history_eligible,all_gates_pass,selected_policy,selection_reason,history_scope_gate,history_scope_reason,gate_checkpoint,gate_checkpoint_observed,gate_checkpoint_required,gate_checkpoint_reason,gate_candidate_available,gate_candidate_available_observed,gate_candidate_available_required,gate_candidate_available_reason,gate_current_season,gate_current_season_observed,gate_current_season_required,gate_current_season_reason,gate_prior_folds,gate_prior_folds_observed,gate_prior_folds_required,gate_prior_folds_reason,gate_prior_predictions,gate_prior_predictions_observed,gate_prior_predictions_required,gate_prior_predictions_reason,gate_aligned_folds,gate_aligned_folds_observed,gate_aligned_folds_required,gate_aligned_folds_reason,gate_aligned_rows,gate_aligned_rows_observed,gate_aligned_rows_required,gate_aligned_rows_reason,gate_finite_metrics,gate_finite_metrics_observed,gate_finite_metrics_required,gate_finite_metrics_reason,gate_margin,gate_margin_observed,gate_margin_required,gate_margin_reason,test_season,is_evaluation_event,forecast_hash
2024/melbourne,2024,16,1,10,199,10,199,1.0570145916762326,1.0570145916762326,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/sakhir""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,1,5,missing_or_below_requirement,True,10,5,pass,True,199,100,pass,True,10,5,pass,True,199,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,True,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024/suzuka,2024,17,2,11,218,11,218,0.9902526855061661,0.9879195276306576,0.0023331578755084736,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/melbourne"", ""2024/sakhir""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,2,5,missing_or_below_requirement,True,11,5,pass,True,218,100,pass,True,11,5,pass,True,218,100,pass,True,True,True,pass,False,0.0023331578755084736,0.05,missing_or_below_requirement,2024,True,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024/imola,2024,18,3,12,238,12,238,0.9259786149456731,0.9242728097941779,0.00170580515149521,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/melbourne"", ""2024/sakhir"", ""2024/suzuka""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,3,5,missing_or_below_requirement,True,12,5,pass,True,238,100,pass,True,12,5,pass,True,238,100,pass,True,True,True,pass,False,0.00170580515149521,0.05,missing_or_below_requirement,2024,True,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024/monaco,2024,19,4,13,258,13,258,0.8886299775625784,0.886264879032208,0.0023650985303704797,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/imola"", ""2024/melbourne"", ""2024/sakhir"", ""2024/suzuka""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,4,5,missing_or_below_requirement,True,13,5,pass,True,258,100,pass,True,13,5,pass,True,258,100,pass,True,True,True,pass,False,0.0023650985303704797,0.05,missing_or_below_requirement,2024,True,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024/montreal,2024,20,5,14,278,14,278,0.9397574523375308,0.9451744628498756,-0.005417010512344778,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/imola"", ""2024/melbourne"", ""2024/monaco"", ""2024/sakhir"", ""2024/suzuka""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,5,5,pass,True,14,5,pass,True,278,100,pass,True,14,5,pass,True,278,100,pass,True,True,True,pass,False,-0.005417010512344778,0.05,missing_or_below_requirement,2024,True,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024/barcelona,2024,21,6,15,298,15,298,0.9157663751997642,0.9134719277046834,0.002294447495080787,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/imola"", ""2024/melbourne"", ""2024/monaco"", ""2024/montreal"", ""2024/sakhir"", ""2024/suzuka""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,6,5,pass,True,15,5,pass,True,298,100,pass,True,15,5,pass,True,298,100,pass,True,True,True,pass,False,0.002294447495080787,0.05,missing_or_below_requirement,2024,True,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024/silverstone,2024,22,7,16,318,16,318,0.8775538323700891,0.8722748554231382,0.005278976946950897,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/barcelona"", ""2024/imola"", ""2024/melbourne"", ""2024/monaco"", ""2024/montreal"", ""2024/sakhir"", ""2024/suzuka""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,7,5,pass,True,16,5,pass,True,318,100,pass,True,16,5,pass,True,318,100,pass,True,True,True,pass,False,0.005278976946950897,0.05,missing_or_below_requirement,2024,True,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024/budapest,2024,23,8,17,338,17,338,0.9839199317211009,0.9610920224392925,0.022827909281808445,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/barcelona"", ""2024/imola"", ""2024/melbourne"", ""2024/monaco"", ""2024/montreal"", ""2024/sakhir"", ""2024/silverstone"", ""2024/suzuka""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,8,5,pass,True,17,5,pass,True,338,100,pass,True,17,5,pass,True,338,100,pass,True,True,True,pass,False,0.022827909281808445,0.05,missing_or_below_requirement,2024,True,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024/zandvoort,2024,24,9,18,358,18,358,0.9601473463772475,0.9385413328025025,0.02160601357474501,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/barcelona"", ""2024/budapest"", ""2024/imola"", ""2024/melbourne"", ""2024/monaco"", ""2024/montreal"", ""2024/sakhir"", ""2024/silverstone"", ""2024/suzuka""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,9,5,pass,True,18,5,pass,True,358,100,pass,True,18,5,pass,True,358,100,pass,True,True,True,pass,False,0.02160601357474501,0.05,missing_or_below_requirement,2024,True,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024/monza,2024,25,10,19,377,19,377,1.1073100194870011,0.959116004026918,0.14819401546008315,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/barcelona"", ""2024/budapest"", ""2024/imola"", ""2024/melbourne"", ""2024/monaco"", ""2024/montreal"", ""2024/sakhir"", ""2024/silverstone"", ""2024/suzuka"", ""2024/zandvoort""]",0,0,True,True,current_season_only_with_prior,selected_after_prior_evidence,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,10,5,pass,True,19,5,pass,True,377,100,pass,True,19,5,pass,True,377,100,pass,True,True,True,pass,True,0.14819401546008315,0.05,pass,2024,True,e9a1fddcf63888afcbb006cf8df5d339408c2bd3eb45f0689fe4f998b11fdcff
