test_season,event_key,event,fold_id,rows,uniform_mae,weighted_mae,selected_mae,d_uniform_minus_weighted,current_season_prior_events,selected_policy,all_gates_pass,history_eligible,selection_reason,regime,cumulative_uniform_mae,cumulative_weighted_mae,cumulative_selected_mae,switch
2024,2024/sakhir,Sakhir,15,20,0.24459895793299252,0.24459895793299252,0.24459895793299252,0.0,0,uniform,False,False,cold_start,cold_start,0.24459895793299252,0.24459895793299252,0.24459895793299252,False
2024,2024/melbourne,Melbourne,16,19,0.29100956298810404,0.2642396463112159,0.29100956298810404,0.026769916676888113,1,uniform,False,False,cold_start,cold_start,0.2672092527034315,0.2541674984249475,0.2672092527034315,False
2024,2024/suzuka,Suzuka,17,20,0.2253912458363015,0.2305235853765506,0.2253912458363015,-0.005132339540249156,2,uniform,False,False,cold_start,cold_start,0.25303365715525183,0.2461526126458299,0.25303365715525183,False
2024,2024/imola,Imola,18,20,0.44418119270374773,0.4339705029647637,0.44418119270374773,0.010210689738984069,3,uniform,False,False,cold_start,cold_start,0.30142543830676977,0.293701445637965,0.30142543830676977,False
2024,2024/monaco,Monaco,19,20,1.5993018769344185,1.7051080940977905,1.5993018769344185,-0.1058062171633721,4,uniform,False,False,cold_start,cold_start,0.5636226986355877,0.5788341018924752,0.5636226986355877,False
2024,2024/montreal,Montréal,20,20,0.5822904029848062,0.47280668918651025,0.5822904029848062,0.10948371379829594,5,uniform,False,True,margin_not_met,early_season,0.5667601279379774,0.561014368664582,0.5667601279379774,False
2024,2024/barcelona,Barcelona,21,20,0.30818694420793075,0.2584384784281138,0.30818694420793075,0.049748465779816974,6,uniform,False,True,margin_not_met,early_season,0.5295553533005606,0.5174782693499823,0.5295553533005606,False
2024,2024/silverstone,Silverstone,22,20,2.6751409114021896,2.3732849779961467,2.6751409114021896,0.3018559334060435,7,uniform,False,True,margin_not_met,early_season,0.7994403291624007,0.7509130754689967,0.7994403291624007,False
2024,2024/budapest,Budapest,23,20,0.5583906540661243,0.5574346779407542,0.5583906540661243,0.0009559761253702087,8,uniform,False,True,margin_not_met,early_season,0.772507404570638,0.7292953774211482,0.772507404570638,False
2024,2024/zandvoort,Zandvoort,24,19,3.8801645970286747,1.3467861249922195,3.8801645970286747,2.5333784720364556,9,uniform,False,True,margin_not_met,established_season,1.0707169331398436,0.7885495400668572,1.0707169331398436,False
2024,2024/monza,Monza,25,20,0.263325222055498,0.28994844823325083,0.28994844823325083,-0.02662322617775279,10,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.9966442990954083,0.7428063206325815,0.999086796909881,True
2024,2024/yas-island,Yas Island,26,20,0.3933821976785129,0.42942044297147586,0.42942044297147586,-0.036038245292962956,11,current_season_only_with_prior,True,True,selected_after_prior_evidence,established_season,0.9459500048586943,0.7164713729299674,0.9512156747301831,False
2025,2025/melbourne,Melbourne,27,19,0.24198888581519756,0.20331974813719392,0.24198888581519756,0.03866913767800364,0,uniform,False,False,cold_start,cold_start,0.24198888581519756,0.20331974813719392,0.24198888581519756,False
2025,2025/suzuka,Suzuka,28,20,0.6047593178276522,0.6186611911340617,0.6047593178276522,-0.013901873306409462,1,uniform,False,False,cold_start,cold_start,0.4280250047959436,0.4163153599304594,0.4280250047959436,False
