test_season,role,interval_rows,evaluable_rows,coverage,mean_width
2024,uniform,238,238,0.8571428571428571,3.9499708701130536
2024,current_season_only_with_prior,238,238,0.9033613445378151,3.7154158109591093
2024,selected,238,238,0.8571428571428571,3.9499708701130536
2025,uniform,357,357,0.8739495798319328,4.043917623200542
2025,current_season_only_with_prior,357,357,0.957983193277311,2.829318238158647
2025,selected,357,357,0.9663865546218487,3.5540032420343923
